*,test_f1,train_accuracy,test_recall,score_time,train_f1,fit_time,train_precision,test_average_precision,test_roc_auc,test_accuracy,train_roc_auc,train_average_precision,train_recall,test_precision
SVM_rbf,0.6573,0.9512,0.6476,0.1456,0.9508,0.177,0.9583,0.7066,0.722,0.6651,0.99,0.9896,0.9436,0.6756
SVM_poly,0.3657,0.9132,0.2413,0.1398,0.9041,0.1773,0.9937,0.7459,0.754,0.5968,0.9961,0.9962,0.8317,0.8353
SVM_lin1,0.6045,0.9981,0.6127,0.0053,0.9981,0.5955,0.9988,0.6337,0.6166,0.6032,1.0,1.0,0.9975,0.6036
SVM_linl2,0.5973,0.9979,0.5714,0.0047,0.9979,0.961,0.998,0.6401,0.6372,0.6159,1.0,1.0,0.9979,0.6281
logisticl2,0.6467,0.9981,0.6444,0.0048,0.9982,0.1748,0.9975,0.6599,0.6618,0.6508,1.0,1.0,0.9988,0.6523
