*,f1,average_precision_score,recall,roc_auc_score,precision,accuracy
SVM_rbf,0.0952,0.05,1.0,0.81,0.05,0.6275
SVM_poly,0.6522,0.6484,0.5769,0.6885,0.75,0.6863
SVM_lin1,0.5909,0.5678,0.5417,0.6412,0.65,0.6471
SVM_linl2,0.549,0.6495,0.4516,0.5758,0.7,0.549
logisticl2,0.5532,0.5875,0.4815,0.5949,0.65,0.5882
