*,test_f1,train_accuracy,test_recall,score_time,train_f1,fit_time,train_precision,test_average_precision,test_roc_auc,test_accuracy,train_roc_auc,train_average_precision,train_recall,test_precision
SVM_rbf_m,0.783,0.9835,0.819,0.0336,0.9835,0.0397,0.9848,0.8822,0.8711,0.7714,0.9991,0.999,0.9823,0.7533
SVM_poly_m,0.6509,0.9302,0.8762,0.0306,0.9358,0.0363,0.8821,0.7735,0.7543,0.5413,1.0,0.9999,0.9988,0.5643
SVM_lin1_m,0.7998,0.9981,0.7937,0.0041,0.9981,0.334,0.9992,0.8846,0.8842,0.8032,1.0,1.0,0.9971,0.8091
SVM_linl2_m,0.9435,0.9977,0.9524,0.0039,0.9977,0.1193,0.9971,0.9814,0.9793,0.9429,1.0,1.0,0.9984,0.9361
logisticl2_m,0.9043,0.9973,0.9206,0.0039,0.9973,0.0168,0.9984,0.9585,0.9605,0.9032,1.0,1.0,0.9963,0.8919
