*,f1,average_precision_score,recall,roc_auc_score,precision,accuracy
SVM_rbf_s,0.0952,0.05,1.0,0.81,0.05,0.6275
SVM_poly_s,0.5217,0.5514,0.4615,0.5708,0.6,0.5686
SVM_lin1_s,0.5714,0.5234,0.5455,0.6348,0.6,0.6471
SVM_linl2_s,0.5641,0.4753,0.5789,0.6488,0.55,0.6667
logisticl2_s,0.5581,0.5287,0.5217,0.618,0.6,0.6275
